disease_category,age_group,state,gender,changepoint_year,slope1,slope2,change_in_slope,slope2_p_value,significance_label,mean_rate_last_5y,n_years_used,first_year
ischemic,75-84 years,Wisconsin,Male,2008,-0.2348186,-0.0373712,0.1974474,0.0000000,significant_decrease,2.115237693,27,1999
ischemic,75-84 years,New Hampshire,Female,2009,-0.1780503,-0.0372837,0.1407666,0.0000005,significant_decrease,0.856020916,27,1999
ischemic,75-84 years,Oregon,Male,2010,-0.1719769,-0.0371520,0.1348249,0.0000000,significant_decrease,1.572853383,27,1999
ischemic,75-84 years,Colorado,Male,2012,-0.1457593,-0.0371126,0.1086467,0.0000224,significant_decrease,1.44715822,27,1999
ischemic,55-64 years,Arkansas,Male,2021,-0.0023159,-0.0367555,-0.0344396,0.0125110,significant_decrease,0.772972798,27,1999
ischemic,75-84 years,Iowa,Male,2011,-0.1893518,-0.0367240,0.1526277,0.0000018,significant_decrease,2.346909346,27,1999
ischemic,85+ years,Washington,Total,2015,-0.3127697,-0.0365650,0.2762047,0.0553288,no_significant_change,4.718161727,27,1999
ischemic,75-84 years,South Carolina,Female,2008,-0.1673431,-0.0358754,0.1314677,0.0000000,significant_decrease,0.918531755,27,1999
ischemic,75-84 years,North Carolina,Female,2010,-0.1421198,-0.0355072,0.1066126,0.0000000,significant_decrease,0.941081007,27,1999
ischemic,75-84 years,Vermont,Male,2009,-0.1851367,-0.0350196,0.1501171,0.0124902,significant_decrease,2.210833362,27,1999
ischemic,75-84 years,Tennessee,Male,2012,-0.2049041,-0.0347033,0.1702008,0.0000738,significant_decrease,2.709511491,27,1999
ischemic,75-84 years,Alabama,Female,2011,-0.1048958,-0.0343137,0.0705820,0.0000000,significant_decrease,0.893766321,27,1999
ischemic,75-84 years,Indiana,Female,2010,-0.1271751,-0.0340805,0.0930946,0.0000000,significant_decrease,1.12797646,27,1999
ischemic,75-84 years,Tennessee,Total,2012,-0.1580232,-0.0338808,0.1241423,0.0000018,significant_decrease,2.001620717,27,1999
heart_failure,85+ years,Hawaii,Male,2018,0.0191822,-0.0335786,-0.0527608,0.0673506,no_significant_change,1.35999776,27,1999
ischemic,75-84 years,Florida,Female,2010,-0.1417131,-0.0334789,0.1082341,0.0000000,significant_decrease,0.998223534,27,1999
ischemic,75-84 years,Kentucky,Total,2011,-0.1625642,-0.0329670,0.1295972,0.0000003,significant_decrease,1.65598427,27,1999
ischemic,75-84 years,North Dakota,Male,2013,-0.1854549,-0.0329342,0.1525207,0.0717876,no_significant_change,1.927325128,27,1999
ischemic,75-84 years,Georgia,Female,2010,-0.1329044,-0.0325911,0.1003133,0.0000000,significant_decrease,0.798736076,27,1999
ischemic,75-84 years,Idaho,Total,2009,-0.1342860,-0.0319428,0.1023432,0.0000001,significant_decrease,1.305304289,27,1999
ischemic,75-84 years,Iowa,Female,2011,-0.1095155,-0.0318963,0.0776192,0.0000022,significant_decrease,1.158169674,27,1999
ischemic,75-84 years,Iowa,Total,2011,-0.1378462,-0.0315994,0.1062469,0.0000002,significant_decrease,1.691673505,27,1999
ischemic,75-84 years,Wyoming,Female,2008,-0.0804247,-0.0315496,0.0488751,0.0005084,significant_decrease,0.87902035,27,1999
